Artist,Song,Date Released,Avg,# Ratings,Wants
Dronny Darko & Phaedrus,Quasi,7 December 2021,3.07,5,4
MINO,"""To Infinity.""",7 December 2021,3.03,28,2
Bruno Duplant & Rutger Zuydervelt,Synchronicité,7 December 2021,3.00,3,4
大島ミチル [Michiru Oshima] / Pentagon,ICO -Perfect Music Files-,6 December 2021,4.50,3,4
Đăng Khoa,Khoa đăng,5 December 2021,3.50,10,1
Theoreme,Les Artisans,4 December 2021,3.17,18,3
天気予報,Sora,4 December 2021,3.50,1,5
Nurse With Wound & Bladder Flask,BACKSIDE,4 December 2021,-,inf,5
Wolftooth,Blood & Iron,3 December 2021,3.30,15,1
Kavrila,Mor,3 December 2021,3.00,4,-
Crom,Into the Glory Land,3 December 2021,3.22,7,4
No Bragging Rights,No Bragging Rights,3 December 2021,3.42,12,1
Beauty Pill,Instant Night,3 December 2021,2.21,7,3
Psychoprism,R.I.S.E.,3 December 2021,3.18,5,1
Interplanetary Criminal,Ruff EP,3 December 2021,3.35,12,5
Modder,Modder,3 December 2021,3.56,13,2
"钱赓 [Qian Geng], Anton Kaun & 王子衡 [Wang Ziheng]",Krakatoa,3 December 2021,-,inf,5
Camerata Zürich,On an Overgrown Path,3 December 2021,2.87,4,3
James Ehnes,Sonatas and Partitas for Solo Violin,3 December 2021,3.33,3,4
"DJ Smokey, Soudiere & NxxxxxS",Trip Thru Hell,3 December 2021,2.90,19,5
Haiyti,Speed Date,3 December 2021,3.54,18,1
Treetop Flyers,Old Habits,3 December 2021,3.20,6,1
Engine Kid,Special Olympics,3 December 2021,3.19,5,2
Magenta,Songs From The Big Room,3 December 2021,3.50,1,4
Mainliner,Eventual Survivors in Osaka 2021,3 December 2021,3.76,3,4
Move D,Inside the Freero Dome,3 December 2021,3.12,15,1
Geordie Greep Official,1000 Midis,3 December 2021,3.52,10,4
Government Alpha / Coalminer,Dead Light Miasma,3 December 2021,3.74,3,4
Keeper,MMXXI,3 December 2021,3.25,3,2
Kramer,And the Wind Blew It All Away,3 December 2021,3.43,8,3
Shy Eye,Spring Yard,3 December 2021,4.08,13,4
Roberto Loreggian,Complete Unpublished Works for Harpsichord & Organ,December 2021,4.00,1,4
Coakira,Amen Suicide EP,1 December 2021,3.34,8,1
Mucoid,Maestro,30 November 2021,3.76,15,5
Signal ST,"Zapoi and other dysfunctional love stories, closing the loops",30 November 2021,3.42,7,5
Phish,"Live Phish 08/17/96: The Clifford Ball, Plattsburgh, NY",29 November 2021,4.58,7,1
Serj Tankian & The F.C.C.,Live in Edmonton,29 November 2021,3.50,10,2
Diessa,ASCII FANTASY,28 November 2021,4.10,5,4
Wolfgang,Whatever,28 November 2021,3.33,5,4
Alex Malheiros,Tempos futuros,27 November 2021,3.18,10,3
"Simon Rose, Ernesto Rodrigues, Guilherme Rodrigues & Meinrad Kneer",Birds and Humans,27 November 2021,3.81,4,4
Kashell,Ka$hell,26 November 2021,2.28,12,1
Laurence Guy,Your Good Times Are Here,26 November 2021,2.84,12,4
Coilguns,Shunners / Burrows,26 November 2021,3.46,6,2
Andrzej Stasiuk / Mikołaj Trzaska,Opla Stasiuk Trzaska,26 November 2021,3.66,3,3
Rufus Wainwright & Amsterdam Sinfonietta,Live,26 November 2021,3.13,8,1
Morguiliath,"Occult Sins, New Unholy Dimension",26 November 2021,3.36,8,1
Fedez,Disumano,26 November 2021,1.58,17,2
Ergholae Somptator,Mille vertiges fondent sur les âmes vides,26 November 2021,2.84,13,1
Misia Furtak,Wybory,26 November 2021,3.36,16,4
Super Famous Fun Time Guys,"Mom's Not Offended, She's Concerned",26 November 2021,3.52,6,1
Bordge,Neither the Time Nor the Place,26 November 2021,3.33,13,3
Bernie Marsden,Chess,26 November 2021,3.11,6,1
Dellafuente,Milagro,26 November 2021,3.57,13,4
Sainted Sinners,Taste It,26 November 2021,3.00,4,-
Jessica's Brother,Just Rain,26 November 2021,2.97,4,1
Alien Force,We Meet Again,26 November 2021,3.16,6,2
Alan Walker,World of Walker,26 November 2021,2.21,17,4
Jaurim,영원한 사랑,26 November 2021,3.30,21,4
TRUCKR,EMPTY ROAD 1,26 November 2021,3.50,25,5
Ryan Hamilton,1221,26 November 2021,3.84,4,1
Cristina Donà,deSidera,26 November 2021,2.48,8,-
Maria Cristina Kiehr / Jonatan Alvarado / Ariel Abramovich,The Josquin Songbook - Music for Two Voices and Vihuela,26 November 2021,-,2,3
Í Myrkri,Bag skyggernes slør,25 November 2021,3.52,18,3
Rainbow Chan,Stanley,25 November 2021,3.44,10,4
Glitchangel,Całe niebo/na wylot,25 November 2021,3.97,16,2
さよならポニーテール [Sayonara Ponytail],Ginga (銀河),24 November 2021,-,inf,5
Little Boy Velvet,HOLDEN,22 November 2021,3.00,11,3
Aidan Baker,Fluss,22 November 2021,2.77,10,5
Signs of the Dying Summer,Oto jest pustka,21 November 2021,3.38,6,1
Tiny Little Houses,Misericorde,19 November 2021,3.22,22,4
Unctoris,Shout Demise,19 November 2021,2.62,6,1
Aufgang,Broad Ways,19 November 2021,3.11,5,1
Gavinco,Beriza,19 November 2021,3.40,5,3
Godless,States of Chaos,19 November 2021,3.06,10,2
Mapache,3,19 November 2021,3.46,9,1
Smile,Phantom Island,19 November 2021,3.17,3,2
Duane Pitre,Omniscient Voices,19 November 2021,2.94,6,2
French Montana,They Got Amnesia,19 November 2021,1.93,117,4
Seaworthy &  Matt Rösner,Snowmelt,19 November 2021,2.81,9,2
Belmont,Bowser's Mixtape,19 November 2021,2.41,13,4
Monsta X,NO LIMIT,19 November 2021,2.76,26,2
Michael Arthur Holloway,Strange Cargo,19 November 2021,3.62,16,2
Sokół,Nic,19 November 2021,3.12,56,1
Stillbirth,Strain of Gods,19 November 2021,3.26,22,1
Smoke Supreme / RXK Nephew,SLITHER SMOKE,19 November 2021,2.78,46,2
Taking Meds,Terrible News From Wonderful Men,19 November 2021,3.00,20,2
Benjamin Lazar Davis,Benjamin Lazar Davis,19 November 2021,2.57,6,-
Pendulum,Elemental (The Remixes),19 November 2021,2.40,12,2
aldn,Predictable,17 November 2021,3.44,58,2
Fugatta,The Darkest Planet,17 November 2021,3.75,2,2
Coruja BC1,Brasil futurista,17 November 2021,3.58,14,3
Younha,End Theory,16 November 2021,3.14,32,3
FontanaMIXensemble,Solstices,16 November 2021,3.19,3,4
Dianas,Little Glimmer,15 November 2021,2.86,6,3
Cabin Boy,Osland,15 November 2021,3.89,5,3
Кроль [Krol] & Majdanek Waltz,♄ (Сатурн),15 November 2021,3.29,7,3
Leap Day,Treehouse,15 November 2021,3.14,5,2
Imasgrohn,I Sliced Myself Open and Couldn't Find Anything,14 November 2021,3.44,10,3
Sunday Service,Sunday Service,14 November 2021,3.35,15,4
Ghédalia Tazartès,Gospel et le râteau,4 January 2022,-,inf,4
Anitta,Girl From Rio,2022,1.16,10,3
Left at London,Transgender Street Legend Vol. 3,2022,-,inf,4
Descent,Order of Chaos,1 January 2022,-,inf,2
Skid Row,United World Rebellion: Chapter Three,2022,-,inf,4
Vacant Lights,Funeral Noise Exits,January 2022,-,inf,4
Rae Sremmurd,SremmLife4,2022,-,inf,4
Black River,Generation aXe,2022,-,inf,4
Tristan Micah Waiden,Headcanon,1 January 2022,4.00,2,4
Mucoid,UFO,1 January 2022,4.50,1,4
Soft Machine,Facelift France & Holland,2022,0.50,1,4
Kapala,Doomsday Requiem,31 December 2021,-,inf,4
Lascaille's Shroud,The Gold Flesh of the Sun,31 December 2021,3.13,14,2
Seven Nines and Tens,Over Opiated in a Forest of Whispering Speakers,29 December 2021,-,inf,3
nxac.cd,Lily Breaks,24 December 2021,-,inf,3
Won James Won,Loss Avoidage LTD,23 December 2021,3.50,4,1
Animal Collective,Live at Music Box Village,23 December 2021,3.04,9,2
강혜원 [Kang Hyewon],W,22 December 2021,3.67,25,2
Corona Barathri,Lapis Sacrificialis,21 December 2021,-,1,3
Vic Spencer & SonnyJim,Spencer for Higher 4,21 December 2021,3.46,10,1
MC Lars,Blockchain Planet,17 December 2021,3.08,7,1
Fargue,"Ruines, Irradiées",17 December 2021,3.25,3,4
Myrdød,The Mourning Hollow,17 December 2021,3.10,6,2
Solarus,A Dance With Tragedy,17 December 2021,3.50,1,1
Needlepusher,Abyssal Internment,17 December 2021,3.56,13,2
Wound,Serpent Crown,17 December 2021,3.50,6,2
Gucci Mane,So Icy Christmas,17 December 2021,2.49,42,2
Phenocryst,Explosions,17 December 2021,3.00,5,1
Anberlin,Under a Dying Sun,17 December 2021,3.00,1,3
灰野敬二 [Keiji Haino],"The World of Keiji Haino: Stab victory, at least do this",17 December 2021,-,inf,4
Augie March,Bloodsport & Porn,15 December 2021,3.78,2,3
ШЛЕМ [SHLEM],Верхом на Кукулькане,13 December 2021,3.00,7,1
New Grass,Scordatura_Perforations,13 December 2021,3.75,9,3
Mikhail & The Laser Brother's,Sweetlaser,13 December 2021,3.89,4,4
Count to Altek,Movements In Synthetic Rhythm,12 December 2021,4.02,5,3
Avskräde,Det stora tunga sjuka,12 December 2021,3.25,6,1
Rising Insane,Afterglow,10 December 2021,3.75,9,1
Widespread Panic,Miss Kitty’s Lounge,10 December 2021,-,inf,3
Curren$y,Half Moon Bay,10 December 2021,-,inf,4
Darkest Mind,Oracle of Death,10 December 2021,3.57,8,-
There's a Light,For What May I Hope? For What Must We Hope?,10 December 2021,3.18,17,1
Agarthic,The Inner Side,10 December 2021,3.50,2,1
Psilocybe Larvae,Where Silence Dwells,10 December 2021,4.50,3,2
Zelbo,In My Dreams,10 December 2021,3.45,8,-
Cairo Free Jazz Ensemble,Music for Angela Davis,10 December 2021,-,inf,3
Mordom,Cry of the Dying World,10 December 2021,3.10,7,-
Land of Gypsies,Land of Gypsies,10 December 2021,3.62,5,-
Lifelost,Punitive Damnation,10 December 2021,3.33,9,-
O'Brother,Garden Window Live at Maze Studios,10 December 2021,4.00,1,3
Ziemba,Unsubtle Magic,10 December 2021,2.58,8,1
Thalarion,Dying on the Scorched Plains,10 December 2021,3.21,6,3
Boulevard Depo & SP4K,Qwerty Lang,10 December 2021,3.26,38,2
Pixies,"Live From Rock & Roll Hall of Fame, Cleveland, Oh. June 8th, 2005",10 December 2021,2.90,7,3
花伦,WUHAN WUHAN 武汉武汉,10 December 2021,3.10,5,1
Rio da Yung OG,Fiend Lives Matter,10 December 2021,3.35,27,3
Quetzal Tirado,Eseménysorozat,10 December 2021,3.71,7,1
Christophe Beck & Michael Paraskevas,Hawkeye: Vol. 1 (Episodes 1-3),10 December 2021,3.12,6,-
Cheer-Accident,Hong Kong,10 December 2021,2.50,4,4
King Gizzard and the Lizard Wizard,Live at Levitation '14,10 December 2021,3.86,28,2
King Gizzard and the Lizard Wizard,Live at Levitation '16,10 December 2021,3.93,23,2
American Aquarium,"Slappers, Bangers & Certified Twangers, Vol. 2",10 December 2021,3.40,5,2
Forrest Fang,Forever Cascades,10 December 2021,-,inf,2
Gareth Coker / Joel Corelitz / Curtis Schweitzer,Halo Infinite,10 December 2021,3.00,6,1
Hans Zimmer & David Fleming,The Unforgivable,10 December 2021,1.50,4,2
"Oh No Noh, Midori Hirano & Jo David Meyer Lysne",Distant Sediments,10 December 2021,3.52,5,4
Isobar,Isobar II,10 December 2021,3.39,5,3
Julia Stone,Everything Is Christmas,10 December 2021,3.12,5,2
橋本絵莉子 [Eriko Hashimoto],日記を燃やして (Burn a Diary),8 December 2021,3.50,5,2
パスピエ [Passepied],ニュイ,8 December 2021,3.38,19,2
More ？Sugar,"""It Will Have Occurred""",8 December 2021,3.76,5,4
Danny Norbury,Rue d'Aligre,7 December 2021,3.11,5,1
Wolfswut,Highest Honor,7 December 2021,3.22,6,-
KirbLaGoop,Kirb May Cry,7 December 2021,3.57,14,3
Umwelt,Subversive Territory,5 December 2021,2.67,3,3
天気予報,Mountain II,5 December 2021,3.50,1,4
Jakob Lindberg,Bach on the Rauwolf Lute,3 December 2021,2.91,4,4
Pearly Gate Music,Mainly Gestalt Pornography,3 December 2021,3.28,6,2
Small Cruel Party,è vago fior del tempo,3 December 2021,3.50,4,3
Dave Matthews Band,"Live Trax Vol. 58: 6.22.00 - Deer Creek Music Center - Noblesville, Indiana",3 December 2021,4.00,1,-
Antwerp Symphony Orchestra / Storioni Trio / Olari Elts / Dimitri Mestdag / Anneleen Lenaerts,Double & Triple Concertos,3 December 2021,3.00,4,2
Somnolent,The Infernal Expanse,3 December 2021,3.27,7,2
ONF,Goosebumps,3 December 2021,3.07,28,2
Decerebration,Follow the Scars,3 December 2021,3.50,11,1
M.I.C & Nammy Wams,White Britain Hates Him! Find Out His Secret...,3 December 2021,3.25,3,2
Rift,To Quench the Thirst of Wolves,3 December 2021,2.89,10,-
Munich Radio Orchestra / Christian Baldini / Maximilian Haft / Miranda CucksonMünchner RundfunkorchesterChristian BaldiniMaximilian HaftMiranda Cuckson,Amériques / Violin Concerto / Chain 2 / Elapsing Twilight Shades,Münchner RundfunkorchesterChristian BaldiniMaximilian HaftMiranda Cuckson,2.12,7,3
Nardo Wick,Who Is Nardo Wick?,3 December 2021,2.82,74,3
The Scaramanga Six,Worthless Music,3 December 2021,3.71,4,2
K-Lone,Zissou,3 December 2021,3.14,13,3
Max Pie,Passengers,3 December 2021,3.12,4,2
Locked Club,Egipet,3 December 2021,3.27,25,3
Olli Aarni,Värejä hangella,3 December 2021,3.17,9,3
Perila,Survivors Kit,3 December 2021,3.02,4,4
Coez,Volare,3 December 2021,2.58,19,1
Tusken Raiders,Boundary Road,3 December 2021,3.00,7,1
Dead Soma,Faces Which No Mask Could Ever Conceal,3 December 2021,3.55,10,2
Celer,"Gems, 16",3 December 2021,3.00,6,4
DJ Polo & NKC,Yeyeyeye,3 December 2021,3.32,10,3
Pile of Love,Pile of Love,3 December 2021,3.57,10,1
Nick Lutsko,More Songs on the Computer,3 December 2021,4.26,8,2
Knxwledge,VGM.15,3 December 2021,3.41,12,2
LEISURE,Sunsetter,3 December 2021,3.28,16,1
Epica,Omega Alive,3 December 2021,3.67,4,3
The Mother Hips,Glowing Lantern,3 December 2021,3.54,3,1
Celer,"Gems, 15",2 December 2021,2.92,7,3
Cozz,Fortunate,2 December 2021,2.75,26,1
天気予報,Channel AA,2 December 2021,2.50,1,4
サイダーガール [Cidergirl],Soda Pop Fanclub 4,1 December 2021,3.10,7,2
Jizue,Garden,1 December 2021,3.26,17,2
Choro Club & 妹尾武 [Takeshi Senoo],"""ARIA the CREPUSCOLO"" ""ARIA the BENEDIZIONE"" Original Soundtrack Quattro",1 December 2021,3.67,3,4
SHISHAMO,ブーツを鳴らして - EP (Boots o narashite - EP),1 December 2021,3.69,3,4
Machacha,Copenhagen Crates Presents The Hundred,1 December 2021,2.50,4,-
Orkiestra Muzyki Nowej / Duo Skweres / Szymon Bywalec / Tomasz Skweres / Mateusz Ryczek,Cello Works,December 2021,-,inf,4
CashCache,I Love Cashcache 3!,1 December 2021,3.30,15,2
Diabarha,Portrait,1 December 2021,4.17,3,2
Orkiestra Symfoniczna Filharmonii Narodowej / Witold Rowicki / Martha Argerich / Arthur Moreira Lima,Fryderyk Chopin: Piano Concertos 1 & 2,1 December 2021,3.24,5,4
Lucero,Live From Red Rocks,1 December 2021,4.00,2,2
Joëlle Léandre,At Souillac en Jazz,30 November 2021,-,inf,3
Phish,"Live Phish 08/16/96: The Clifford Ball, Plattsburgh, NY",29 November 2021,4.28,9,1
To Forget,Echoes Take Their Place,29 November 2021,3.60,5,2
Theo Parrish,6 Hour Mix: 28th November 2021,29 November 2021,3.50,2,4
Dan Deacon,Ascension,29 November 2021,2.84,6,3
Savage Deity,Decade of Savagery,28 November 2021,3.18,12,1
The Constructus Corporation,From the Vault,28 November 2021,3.62,9,4
Beto Vázquez Infinity,Mental Asylum,27 November 2021,2.97,4,-
平沢進 [Susumu Hirasawa],架空のソプラノ Interactive Live Show SIREN,27 November 2021,4.07,15,3
Chris Holm & Orions Belte,Chris Holm,26 November 2021,3.12,4,2
Sei Still,El Refugio,26 November 2021,3.43,14,1
We Are the Catalyst,Perseverance,26 November 2021,3.07,14,1
Benothing,Temporal Bliss Surrealms,26 November 2021,3.18,20,3
Rhys Fulber,Brutal Nature,26 November 2021,3.72,25,3
Quiqui,もう少しの暦 (Calendar),26 November 2021,-,inf,2
Abhorration,After Winter Comes War,26 November 2021,3.42,9,2
SIMM,Too Late to Dream,26 November 2021,3.47,13,1
Czesław Mozil,#IDEOLOGIAMOZILA,26 November 2021,3.50,4,3
Fawns of Love,Innocence of Protection,26 November 2021,2.93,11,2
Arisa,Ero romantica,26 November 2021,3.00,3,2
Fools Garden,Captain ... Coast Is Clear,26 November 2021,3.00,5,-
Lynx,Watcher of Skies,26 November 2021,3.30,9,-
Remedy,Remedy Meets Wu-Tang,26 November 2021,2.68,16,1
Audio,[Unsocial],26 November 2021,3.30,11,-
Blodtår,Blodtår,26 November 2021,3.28,15,-
Flora Matos,Flora de controle,26 November 2021,3.29,8,4
Breakage,"At the Controls, Vol. 2",26 November 2021,3.25,2,3
Natisú,Hay un fuego,26 November 2021,3.75,12,1
Von Bikräv,200% Bibi,26 November 2021,3.99,11,2
K Amon K,Arca Ende Aeterna,26 November 2021,3.62,9,-
Asia,"The Official Live Bootlegs, Vol. 1",26 November 2021,3.00,3,2
Katie Melua,Acoustic Album No. 8,26 November 2021,2.86,6,1
Musa Dagh,Musa Dagh,26 November 2021,3.42,7,-
Die Cronopien – Kollektiv für Interkulturelle Neue Musik,Zikkus,25 November 2021,-,inf,4
Medina Azahara,Llegó el día,25 November 2021,3.35,4,3
Jon Hopkins,241121,25 November 2021,3.18,5,2
Spółdzielnia Muzyczna Contemporary Ensemble,"Kagel, Donatoni, Szymański, Muntendorf, Peszat, Eizirik",25 November 2021,-,inf,4
土岐麻子 [Asako Toki],Twilight,24 November 2021,3.66,15,3
STL,XLR8R 723,24 November 2021,-,1,3
Caliza,El descenso,23 November 2021,3.58,6,2
God Body Disconnect,The Dormancy,23 November 2021,2.70,5,4
Oolacile,Perceiver Pt. 2 Reality Simulator,23 November 2021,3.42,14,2
Kelbin,EFYL,23 November 2021,3.93,19,2
Kazuhisa Uchihashi,Singing Daxophone,22 November 2021,-,inf,4
SF9,Rumination,22 November 2021,2.78,21,2
"Sam Andreae, David Birchall, Toshimaru Nakamura & Otto Willberg",UK ツアー 2019,22 November 2021,-,2,4
Paard,Danki,21 November 2021,3.73,7,4
Fort Romeau,RA.807,21 November 2021,3.50,3,3
No Curfew Kids,The Night Rider 11/20/2021,20 November 2021,4.38,2,2
Navalum,On the Threshold of Creation,20 November 2021,3.50,4,1
Dark Sanctuary,Iterum,20 November 2021,3.61,11,4
Chris Liebing,Another Day,19 November 2021,2.84,16,1
Peter Capaldi,St. Christopher,19 November 2021,2.97,7,1
Penny Rimbaud & Youth,Corpus Mei,19 November 2021,3.76,4,2
Ultra Q,Get Yourself a Friend,19 November 2021,3.37,15,2
FireWölfe,Conquer All Fear,19 November 2021,3.00,5,1
Merzbow,Double Beat Sequencer Vol. 3,19 November 2021,-,inf,4
Merzbow,Double Beat Sequencer Vol. 4,19 November 2021,-,inf,4
Daxma,Unmarked Boxes,19 November 2021,3.18,24,1
Traffik Island,A Shrug of The Shoulders,19 November 2021,3.35,13,1
Jim Lindberg,Songs From the Elkhorn Trail,19 November 2021,3.00,5,3
Pigeon,Yagana EP,19 November 2021,3.20,6,2
Eagles of Death Metal,Eagles of Death Metal Presents A Boots Electric Christmas,19 November 2021,1.97,9,1
Terror Jr,Road to Grapeness,19 November 2021,2.91,23,2
Trend Kill Ghosts,Until the Sunrise Again,19 November 2021,3.04,3,1
팔황단 [Pal Hwang Dan],2013-2021 Seoul,19 November 2021,3.58,8,3
Спасибо [Spasibo],Терпение,19 November 2021,3.53,23,4
John Foxx,Church,19 November 2021,3.50,2,3
Phil Cook,All These Years,19 November 2021,2.89,5,1
Cryypt,အငွေ့လှိုင်း (Vaporwave),19 November 2021,4.25,3,3
Carl Sentance,Electric Eye,19 November 2021,3.00,3,1
Merdh Laleh,Ardent Flux,19 November 2021,3.62,11,3
Hydro x TestaRossa x ZeroHydro da GodTesta RossaZerosuit,Invasion,Hydro da GodTesta RossaZerosuit,3.50,9,2
Rosalía,Memento Mori Ep. 22: ROSALÍA,19 November 2021,4.00,3,4
Electric Moon Meets Talea JactaElectric MoonTalea Jacta,Sabotar,Electric MoonTalea Jacta,3.47,3,2
Fishdoll,Moonsense / 月感,18 November 2021,3.25,8,4
Ankou,Cosmogony,18 November 2021,3.58,13,3
Restraining Order / Warfare,Restraining Order / Warfare [olive green vinyl],17 November 2021,3.27,13,2
Citizen Soldier,This Is Your Sign  (Part 1),17 November 2021,3.94,11,-
Owen,Live at the Lexington,17 November 2021,3.75,4,2
Flipp Dinero,Table for One,16 November 2021,2.64,13,2
Kinlaw & Franco Franco,Mega Dopo Mega,15 November 2021,3.31,7,3
Neil Campbell,Fog Octember,15 November 2021,4.00,1,2
Chris Norman,Just a Man,15 November 2021,3.50,2,1
Apogee,The Blessing and the Curse,13 November 2021,-,inf,3
Rodneyy,On My Time,13 November 2021,3.57,11,3
Dubstar,Two,2022,-,inf,3
The Lanterns,Holy Water & Honey,2022,-,inf,3
Witch Hunt,Rock n´Roll Possession,2022,3.00,1,1
Blind Illusion,Wrath of the Gods,2022,-,inf,2
Paul Romero & Rob King,Heroes of Might and Magic III Original Soundtrack,2022,-,inf,2
amaii,I've Seen Better Days,2022,-,inf,3
Emily Wells,Regards to the End,1 January 2022,-,inf,3
Bevar Sea,The Timeless Zone,2022,-,inf,3
Shakewell,Pray 4 Shakewell,January 2022,-,inf,3
Mantiel,Obskurité,2022,-,inf,2
Kill the Noise,EMBRACƎ,2022,-,inf,3
Dead City CCTV,Dead City CCTV,1 January 2022,-,1,3
Feuerschwanz,Memento Mori,31 December 2021,-,inf,3
t+pazolite & ななひら [Nanahira],Screamin' Showcase,31 December 2021,-,inf,3
IU,Pieces,29 December 2021,-,inf,3
EMCECRPAM,(VIH)³,26 December 2021,-,inf,3
Antilopen Gang,Antilopen Geldwäsche Sampler 1,24 December 2021,-,inf,3
DJ Sabrina the Teenage DJ,Dj Sabrina the Teenage Dj's Centember Soun-,23 December 2021,3.60,5,2
O.H. Westberg,The Chew,23 December 2021,4.00,1,2
井上拓 [Taku Inoue],Aliens EP,22 December 2021,2.50,5,3
Jad Fair,The Party Is Just Getting Started,22 December 2021,3.50,1,2
LCD Soundsystem,LCD Soundsystem Holiday Special,22 December 2021,3.99,6,3
Blisplibidy,Doomsday Culture,21 December 2021,-,inf,3
CMPT [SMRT],Krv i pepeo,21 December 2021,3.00,2,1
Cookin' Soul,Wu Xmas,21 December 2021,3.28,22,1
Pixel Mixers,Tranquility,20 December 2021,-,inf,2
Tran Uy Duc,Came,20 December 2021,2.82,6,2
미나 [Mina],Snowman,19 December 2021,4.50,3,2
X'erox Koy0tiiz,Porn Ahead,19 December 2021,4.50,3,1
Buckethead,The Chariot of Saturn,18 December 2021,3.48,9,3
Bašmu,Grand Spell of Illusion,18 December 2021,3.21,7,2
Wolftopia,Ways of the Pack,17 December 2021,3.33,4,-
KHNVM,Portals to Oblivion,17 December 2021,3.33,6,1
Merzbow,Double Beat Sequencer Vol. 5,17 December 2021,-,1,3
Merzbow,Double Beat Sequencer Vol. 6,17 December 2021,-,inf,3
Dolven,The Tyranny of Time,17 December 2021,4.00,1,2
Ember Falls,Ruins,17 December 2021,3.76,6,1
FEMM,Tokyo Girls Anthem,17 December 2021,2.64,7,1
Enei & Kasra,Remote Transmissions,17 December 2021,2.69,4,1
Diablery,Candles,17 December 2021,3.37,5,1
La Fève,ERRR,17 December 2021,3.45,34,1
Zovi,I LOVE MY PLUSHIES A LOT,17 December 2021,4.16,6,2
ღDJ魔女っ娘ミラクるんღ [ღ DJ Witch Girl Miracle ღ],MIR4CLEN 2,17 December 2021,3.58,8,-
Marta Forsberg,Light Colours in Jyderup,17 December 2021,3.00,6,2
Białas,Murem za Bonusem,16 December 2021,2.53,21,2
noellemustdie,"I HATE MUSIC, ESPECIALLY SONGS AND ALBUMS",16 December 2021,2.50,1,3
Martina Rudic / Michele Gamba,Correspondences,15 December 2021,-,inf,3
Yikii,TANK mix,15 December 2021,3.67,4,1
Orob,Aube Noir,14 December 2021,3.25,6,1
Etsun,Nu-Beat!,14 December 2021,4.33,3,3
The Amity Affliction,Somewhere Beyond the Blue,14 December 2021,3.68,30,2
Jonathan Richman,Want to Visit My Inner House?,14 December 2021,3.50,1,2
Michel Banabila,Echo Transformations,13 December 2021,3.24,7,3
yerdnan2005,shtl crush,13 December 2021,3.00,2,-
Djonga,AQuadrilha,13 December 2021,2.35,7,1
øjeRum,Støvfald,13 December 2021,-,2,3
Sacrificium Carmen,Nekrognosis - Avain varjoihin,12 December 2021,2.75,4,-
Wakana Ikeda & Stefan Thut,Afar,12 December 2021,-,1,3
Dampo,Soul Eater,12 December 2021,4.62,4,3
Unconsecrated,Reveal of the Dead,11 December 2021,3.15,3,1
Big Dumb Face,Christmas in the Cave of Dagoth,11 December 2021,2.97,12,2
No God Only Teeth,Placenta,10 December 2021,3.17,3,1
Liiek,Deep Pore,10 December 2021,3.70,5,2
Soul Remnants,Raising the Sacrificial Dagger,10 December 2021,3.40,5,1
David Allred,Driving Through the Aftermath of a Storm on a Clear Day,10 December 2021,3.07,7,-
A Boogie wit da Hoodie,B4 AVA,10 December 2021,2.30,47,3
Holst-Sinfonietta / Klaus Simon,Besilvering,10 December 2021,-,inf,3
Nadar de Noche,Quietud,10 December 2021,3.00,2,-
OT the Real & DJ Green Lantern,Broken Glass,10 December 2021,3.01,10,1
Drippin So Pretty,Blood on My Jacket,10 December 2021,3.15,22,3
Alan Power,Alan,10 December 2021,4.00,4,-
ATEEZ,ZERO : FEVER EPILOGUE,10 December 2021,2.71,29,1
J. Albert,Phase Portrait,10 December 2021,3.32,7,3
San Fermin,In This House,10 December 2021,3.01,7,1
Bunbury,El Puerto EP,10 December 2021,3.56,7,-
Jul,Indépendance,10 December 2021,3.36,9,2
YoungBoy Never Broke Again & Birdman,From the Bayou,10 December 2021,2.65,48,2
Put Pùrana,Sospinti da una Massa Remota,10 December 2021,3.00,2,1
Mondaze,Late Bloom,10 December 2021,3.50,9,-
Gin Lady,Camping With Bodhi,10 December 2021,3.85,4,1
Nuclei in Wait,Wield Me,9 December 2021,3.51,10,2
天気予報,穏やかな道路,9 December 2021,-,inf,3
Tape Loop Orchestra,Liminal Lungs,9 December 2021,3.17,3,2
Sam Gendel,AE-30,8 December 2021,2.71,14,3
大塚愛 [Ai Otsuka],Love Pop,8 December 2021,2.85,12,1
天気予報,無限1,8 December 2021,3.00,1,3
Devil Cross,This Mortal Coil,7 December 2021,3.00,2,1
Olivia Rodrigo,Tiny Desk (Home) Concert,7 December 2021,3.41,18,1
天気予報 [Weather Forecast],Best Kept Secrets,6 December 2021,-,inf,3
Hus Kingpin,Holiday Hus: XXXmas,6 December 2021,2.87,15,2
Angelspit,Diesel Priest,5 December 2021,2.50,1,1
Saline,Never Structures,5 December 2021,3.75,7,1
Bull of Heaven,down and back,5 December 2021,3.66,3,2
The Last Resort,Skinhead Anthems IV,4 December 2021,3.27,4,2
Tom Caruana,Return to Pepperland,4 December 2021,-,inf,-
Cutterred Flesh,Sharing is Caring,3 December 2021,2.81,11,1
The Cutthroat Brothers and Mike WattThe Cutthroat BrothersMike Watt,Devil in Berlin,The Cutthroat BrothersMike Watt,3.00,2,-
Annie Booth,Lazybody,3 December 2021,3.38,8,1
Gomorran,Excerpts From the Dark Age,3 December 2021,3.28,3,-
Raccoon Tour,The Dentonweaver,3 December 2021,2.97,25,2
UFO,Cleveland 1982,3 December 2021,-,inf,3
This Ending,Let the World Burn,3 December 2021,4.00,2,1
