Artist,Song,Date Released,Avg,# Ratings,Wants
Apollo Brown & Stalley,Blacklight,19 November 2021,3.38,70,17
Donatachi,donatachi.com,17 November 2021,3.52,108,19
Scar Symmetry,The Singularity (Phase II - Xenotaph),2022,-,inf,25
Pyrexia,Gravitas maximus,10 December 2021,3.33,64,16
Oren Ambarchi,Live Hubris,10 December 2021,3.75,42,20
Genocide Pact,Genocide Pact,3 December 2021,3.27,76,14
death's dynamic shroud.wmv,A Quiet Reset,1 December 2021,3.16,40,17
Bladee Presenting Hoxton Mix & Joakim Benon,Club Penguin,26 November 2021,3.33,35,21
Witches Hammer,Devourer of the Dead,25 December 2021,3.65,33,15
Mydreamfever,"Sprout (Part I, II, III)",4 December 2021,3.51,53,22
No Rome,It’s All Smiles,3 December 2021,3.09,123,18
Conway the Machine,The Missing Bricks,26 November 2021,-,inf,24
Hedvig Mollestad,Tempest Revisited,19 November 2021,3.51,34,13
Jedi Mind Tricks,The Funeral and the Raven,19 November 2021,3.15,78,11
Jessica Moss,Phosphenes,19 November 2021,3.37,48,9
Leo Nocentelli,Another Side,19 November 2021,3.55,50,13
Jake Muir,Mana,16 November 2021,3.26,57,13
The Dear Hunter,Antimai,2022,-,inf,23
Леонид Фёдоров [Leonid Fedorov],Последний друг,16 December 2021,3.37,34,21
Funeral,Praesentialis in aeternum,10 December 2021,3.27,47,15
Voices,Breaking the Trauma Bond,26 November 2021,3.45,40,13
Dolorio & Los Tunantes,...Esas mutancias,26 November 2021,3.54,82,18
Pathology,The Everlasting Plague,19 November 2021,3.42,58,7
Ustalost,Before the Glinting Spell Unvests,17 December 2021,3.65,53,17
Krolok,Funeral Winds & Crimson Sky,12 December 2021,3.66,32,14
Auld Ridge,Consanguineous Hymns of Faith and Famine,10 December 2021,3.81,44,15
Haruka Nakamura,Nujabes Pray Reflections,4 December 2021,3.72,46,19
Ofermod,Mysterium Iniquitatis,3 December 2021,3.24,49,16
Victory,Gods of Tomorrow,26 November 2021,3.32,24,2
